date,value
1979-10-17,1056.0403
1979-10-24,1065.1005
1979-10-31,1065.9148
1979-11-07,1061.8695
1979-11-14,1077.9323
1979-11-21,1074.9352
1979-11-28,1063.1317
1979-12-05,1075.5074
1979-12-12,1078.0950
1979-12-19,1070.1696
1979-12-26,1065.9019
1980-01-02,1075.2589
1980-01-09,1074.9295
1980-01-16,1079.7028
1980-01-23,1081.4050
1980-01-30,1071.5667
1980-02-06,1085.9912
1980-02-13,1087.4071
1980-02-20,1091.1407
1980-02-27,1080.4650
1980-03-05,1091.7061
1980-03-12,1093.3168
1980-03-19,1097.5707
1980-03-26,1090.8305
1980-04-02,1095.2733
1980-04-09,1097.4183
1980-04-16,1093.8580
1980-04-23,1099.2939
1980-04-30,1106.1384
1980-05-07,1097.2281
1980-05-14,1101.5861
1980-05-21,1100.9348
1980-05-28,1102.5674
1980-06-04,1098.9269
1980-06-11,1105.6385
1980-06-18,1103.4044
1980-06-25,1108.1412
1980-07-02,1105.1685
1980-07-09,1113.1612
1980-07-16,1118.6479
1980-07-23,1119.1764
1980-07-30,1105.6410
1980-08-06,1114.6507
1980-08-13,1113.6739
1980-08-20,1126.0053
1980-08-27,1122.5468
1980-09-03,1136.5192
1980-09-10,1128.1322
1980-09-17,1138.9690
1980-09-24,1137.6210
1980-10-01,1146.3042
1980-10-08,1140.2580
1980-10-15,1164.6178
1980-10-22,1154.3134
1980-10-29,1150.8327
1980-11-05,1173.1302
1980-11-12,1189.2110
1980-11-19,1167.5396
1980-11-26,1184.8130
1980-12-03,1177.3492
1980-12-10,1181.6160
1980-12-17,1175.2484
1980-12-24,1192.2334
1980-12-31,1194.5712
1981-01-07,1192.2306
1981-01-14,1195.7372
1981-01-21,1192.8102
1981-01-28,1193.8786
1981-02-04,1200.4903
1981-02-11,1200.6497
1981-02-18,1205.7286
1981-02-25,1198.3923
1981-03-04,1208.5136
1981-03-11,1210.9482
1981-03-18,1211.3477
1981-03-25,1211.0125
1981-04-01,1223.7110
1981-04-08,1214.3567
1981-04-15,1234.1805
1981-04-22,1226.5328
1981-04-29,1221.5249
1981-05-06,1227.5705
1981-05-13,1231.9931
1981-05-20,1231.8114
1981-05-27,1245.8515
1981-06-03,1234.5723
1981-06-10,1252.2680
1981-06-17,1244.5072
1981-06-24,1256.4356
1981-07-01,1251.7318
1981-07-08,1242.9782
1981-07-15,1261.4488
1981-07-22,1249.4055
1981-07-29,1233.0575
1981-08-05,1264.5590
1981-08-12,1260.3399
1981-08-19,1257.8953
1981-08-26,1264.9986
1981-09-02,1254.3702
1981-09-09,1266.3454
1981-09-16,1276.6050
1981-09-23,1268.1350
1981-09-30,1289.7147
1981-10-07,1223.7982
1981-10-14,1233.6807
1981-10-21,1226.5057
1981-10-28,1229.8253
1981-11-04,1237.3556
1981-11-11,1235.5422
1981-11-18,1237.7704
1981-11-25,1253.9617
1981-12-02,1251.4882
1981-12-09,1244.5259
1981-12-16,1247.8975
1981-12-23,1259.2354
1981-12-30,1239.5410
1982-01-06,1253.5569
1982-01-13,1253.5954
1982-01-20,1255.0906
1982-01-27,1258.9019
1982-02-03,1260.7549
1982-02-10,1254.5546
1982-02-17,1265.4717
1982-02-24,1255.7402
1982-03-03,1267.5170
1982-03-10,1263.7278
1982-03-17,1266.7527
1982-03-24,1271.9150
1982-03-31,1278.8660
1982-04-07,1280.0474
1982-04-14,1277.8534
1982-04-21,1276.2228
1982-04-28,1273.8067
1982-05-05,1284.2610
1982-05-12,1287.9997
1982-05-19,1285.4624
1982-05-26,1290.5588
1982-06-02,1301.2771
1982-06-09,1292.9271
1982-06-16,1290.5460
1982-06-23,1293.4307
1982-06-30,1302.8517
1982-07-07,1306.7435
1982-07-14,1302.3747
1982-07-21,1304.9689
1982-07-28,1313.6944
1982-08-04,1317.9072
1982-08-11,1315.4791
1982-08-18,1312.7209
1982-08-25,1327.5811
1982-09-01,1336.3003
1982-09-08,1332.6601
1982-09-15,1343.2133
1982-09-22,1333.1308
1982-09-29,1321.8930
1982-10-06,1334.8025
1982-10-13,1343.9141
1982-10-20,1342.7393
1982-10-27,1349.8290
1982-11-03,1359.7451
1982-11-10,1338.7853
1982-11-17,1341.4476
1982-11-24,1357.1148
1982-12-01,1358.8214
1982-12-08,1357.9811
1982-12-15,1370.8690
1982-12-22,1372.8874
1982-12-29,1359.2760
1983-01-05,1372.4573
1983-01-12,1382.5240
1983-01-19,1376.6457
1983-01-26,1392.2491
1983-02-02,1392.7285
1983-02-09,1389.7119
1983-02-16,1380.9984
1983-02-23,1404.2564
1983-03-02,1414.4653
1983-03-09,1397.4926
1983-03-16,1408.5886
1983-03-23,1407.8092
1983-03-30,1406.8663
1983-04-06,1412.8081
1983-04-13,1409.9705
1983-04-20,1412.1999
1983-04-27,1414.5715
1983-05-04,1419.4602
1983-05-11,1424.6855
1983-05-18,1418.1324
1983-05-25,1421.1567
1983-06-01,1439.7075
1983-06-08,1424.9425
1983-06-15,1437.7178
1983-06-22,1430.7975
1983-06-29,1424.1531
1983-07-06,1444.3855
1983-07-13,1435.1971
1983-07-20,1435.0473
1983-07-27,1447.3588
1983-08-03,1440.7102
1983-08-10,1440.5208
1983-08-17,1437.6558
1983-08-24,1446.4340
1983-08-31,1442.4299
1983-09-07,1449.2088
1983-09-14,1447.2257
1983-09-21,1453.3660
1983-09-28,1442.3359
1983-10-05,1460.6712
1983-10-12,1468.1842
1983-10-19,1452.0973
1983-10-26,1469.8960
1983-11-02,1459.7977
1983-11-09,1464.2048
1983-11-16,1471.0233
1983-11-23,1477.4027
1983-11-30,1474.1016
1983-12-07,1476.6827
1983-12-14,1475.7741
1983-12-21,1478.0128
1983-12-28,1478.5251
1984-01-04,1496.6082
1984-01-11,1495.4333
1984-01-18,1476.1257
1984-01-25,1488.9335
1984-02-01,1492.4017
1984-02-08,1485.3301
1984-02-15,1491.1134
1984-02-22,1491.2078
1984-02-29,1500.5409
1984-03-07,1495.4311
1984-03-14,1509.2893
1984-03-21,1503.7681
1984-03-28,1506.6139
1984-04-04,1516.2472
1984-04-11,1518.0133
1984-04-18,1511.6862
1984-04-25,1522.8191
1984-05-02,1522.0700
1984-05-09,1530.6868
1984-05-16,1541.9836
1984-05-23,1543.6477
1984-05-30,1531.3089
1984-06-06,1546.5811
1984-06-13,1540.5262
1984-06-20,1550.2948
1984-06-27,1545.2520
1984-07-04,1561.6486
1984-07-11,1558.2331
1984-07-18,1553.0560
1984-07-25,1566.4666
1984-08-01,1564.2521
1984-08-08,1561.8491
1984-08-15,1572.2214
1984-08-22,1562.4140
1984-08-29,1550.7714
1984-09-05,1572.2340
1984-09-12,1569.2038
1984-09-19,1573.1158
1984-09-26,1572.1225
1984-10-03,1577.4956
1984-10-10,1589.9253
1984-10-17,1563.0429
1984-10-24,1590.1235
1984-10-31,1583.9074
1984-11-07,1589.6888
1984-11-14,1598.2423
1984-11-21,1596.7702
1984-11-28,1580.8372
1984-12-05,1608.1402
1984-12-12,1609.5803
1984-12-19,1607.3965
1984-12-26,1619.1068
